Идентификатор,Заголовок,Описание,"Дата публикации",Рейтинг,"Кол-во лайков","Кол-во комментариев","Название места","Адрес места","Локация места",Ссылка
51609,"Go по работам: основательница благотворительного проекта «Путь домой» про осознанную помощь, ценность жизни и ответственность за тех, кого мы приручили","<p>Сегодня героем нашей рубрики <a href=""https://kudago.com/spb/activity/go-po-rabotam/"">Go по работам</a> стала Валерия Котлюба, руководитель <a class=""external-link"" href=""https://vk.com/homeway_spb"" rel=""nofollow"" target=""_blank"">благотворительного проекта «ПУТЬ ДОМОЙ»</a> и директор АНО «Агентство по реализации социально-значимых проектов и программ „ВЕТЕР ПЕРЕМЕН“». Валерия следит за тем, чтобы работа проекта не прекращалась, а также организует <a href=""https://kudago.com/spb/event/blagotvoritelnost-put-domoj-oktyabr-2023/"">одноимённый фестиваль</a>, который за время своего существования помог найти дом более чем для 1000 животных. Мы поговорили с ней о том, почему домашние животные оказываются на улице, как этого можно избежать и почему любая помощь — это возможность сделать чью-то жизнь лучше. </p>",2024,10,16,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/go-po-rabotam-osnovatelnitsa-blago-proekt/",,,,
51728,"Кабаны держат в страхе посёлок в Ленобласти","<p>Жители боятся отпускать детей на прогулку.</p>",2024,10,16,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/kabanyi-derzhat-v-strazhe-posyolok-v/",,,,
51727,"«Ночлежка» открыла первый пункт обогрева для бездомных в Петербурге","<p>Второй заработает на этой неделе.</p>",2024,10,16,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/nochlezhka-otkryila-pervyij-punkt/",,,,
51725,"В России вырос спрос на тарологов и астрологов","<p>Вакансии вызывают нешуточный интерес у соискателей.</p>",2024,10,16,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-rossii-vyiros-spros-tarologov-i/",,,,
51723,"В Петербурге восстанавливают музей Михаила Лермонтова","<p>Он находился в здании лицея № 280.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-vosstanavlivayut/",,,,
51722,"Райану Рейнольдсу и Хью Джекману предложили стать ведущими «Оскара»","<p>Приглашение получили ещё несколько звёзд.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/rajanu-rejnoldsu-i-hyu-dzhekmanu/",,,,
51721,"Над Россией летит самая яркая комета за 13 лет","<p>Она видна невооружённым глазом.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/nad-rossiej-proletaet-samaya/",,,,
51720,"Вход в Эрмитаж стал бесплатным для членов многодетных семей","<p>Льготные билеты доступны на сайте.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/vhod-v-ermitazh-stal-besplatnyim-dlya-mnogodetnyh-semej/",,,,
51718,"В Выборгском замке появился бронзовый кот Филимон","<p>Он одет в пальто.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-vyiborgskom-zamke-poyavilsya/",,,,
51716,"Спектакль окончен: рецензия на фильм «Джокер: Безумие на двоих»","<p>В мировой прокат вышел сиквел <a href=""https://kudago.com/all/news/malchishnik-v-goteme-ili/"" target=""_blank"" title=""Рецензия на фильм «Джокер»"">«Джокера»</a> с подзаголовком «Безумие на двоих». Продолжение мрачного хита о злодее представляет собой невнятный микс мюзикла и судебной драмы. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href=""https://kudago.com/spb/kino/"" target=""_blank"" title=""киноафиша ""><u>кино</u></a>.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/retsenziya-na-film-dzhoker-bezumie-na-dvoih/",,,,
